Executable,SID,Severity
at.exe,LocalSystem,Medium
at.exe,NetworkService,High
at.exe,Administrator,Medium
at.exe,LocalUser,High
at.exe,Guest,High
at.exe,Everyone,High
at.exe,Unknown,High
bash.exe,LocalSystem,Medium
bash.exe,NetworkService,High
bash.exe,Administrator,Medium
bash.exe,LocalUser,High
bash.exe,Guest,High
bash.exe,Everyone,High
bash.exe,Unknown,High
bitsadmin.exe,LocalSystem,Medium
bitsadmin.exe,NetworkService,Medium
bitsadmin.exe,Administrator,Medium
bitsadmin.exe,LocalUser,High
bitsadmin.exe,Guest,High
bitsadmin.exe,Everyone,High
bitsadmin.exe,Unknown,High
certreq.exe,LocalSystem,Medium
certreq.exe,NetworkService,High
certreq.exe,Administrator,Medium
certreq.exe,LocalUser,High
certreq.exe,Guest,High
certreq.exe,Everyone,High
certreq.exe,Unknown,High
cmd.exe,LocalSystem,Medium
cmd.exe,NetworkService,High
cmd.exe,Administrator,Medium
cmd.exe,LocalUser,High
cmd.exe,Guest,High
cmd.exe,Everyone,High
cmd.exe,Unknown,High
cscript.exe,LocalSystem,Medium
cscript.exe,NetworkService,Medium
cscript.exe,Administrator,Medium
cscript.exe,LocalUser,High
cscript.exe,Guest,High
cscript.exe,Everyone,High
cscript.exe,Unknown,High
diskshadow.exe,LocalSystem,Medium
diskshadow.exe,NetworkService,Medium
diskshadow.exe,Administrator,Medium
diskshadow.exe,LocalUser,High
diskshadow.exe,Guest,High
diskshadow.exe,Everyone,High
diskshadow.exe,Unknown,High
forfiles.exe,LocalSystem,Medium
forfiles.exe,NetworkService,High
forfiles.exe,Administrator,Medium
forfiles.exe,LocalUser,High
forfiles.exe,Guest,High
forfiles.exe,Everyone,High
forfiles.exe,Unknown,High
hh.exe,LocalSystem,Medium
hh.exe,NetworkService,High
hh.exe,Administrator,Medium
hh.exe,LocalUser,High
hh.exe,Guest,High
hh.exe,Everyone,High
hh.exe,Unknown,High
ieexec.exe,LocalSystem,Medium
ieexec.exe,NetworkService,High
ieexec.exe,Administrator,Medium
ieexec.exe,LocalUser,High
ieexec.exe,Guest,High
ieexec.exe,Everyone,High
ieexec.exe,Unknown,High
installutil.exe,LocalSystem,Medium
installutil.exe,NetworkService,Medium
installutil.exe,Administrator,Medium
installutil.exe,LocalUser,High
installutil.exe,Guest,High
installutil.exe,Everyone,High
installutil.exe,Unknown,High
jsc.exe,LocalSystem,Medium
jsc.exe,NetworkService,High
jsc.exe,Administrator,Medium
jsc.exe,LocalUser,High
jsc.exe,Guest,High
jsc.exe,Everyone,High
jsc.exe,Unknown,High
msbuild.exe,LocalSystem,Medium
msbuild.exe,NetworkService,High
msbuild.exe,Administrator,Medium
msbuild.exe,LocalUser,High
msbuild.exe,Guest,High
